epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,836.025,0.30429,0.10939,0.03731,0.21421,0.79941,0.99937,1,0.995,0.97976,0.99465,0.99528,0.99141,0.98997,0.22513,0.06799,0.00098,0.15468,0.7352,0.000959289,0.000959289,0.000959289
28,864.93,0.2924,0.10154,0.03532,0.20801,0.79703,0.9998,0.99993,0.995,0.98007,0.99488,0.99501,0.99036,0.9888,0.22003,0.06364,0.00094,0.15211,0.73558,0.000956145,0.000956145,0.000956145
29,893.622,0.30382,0.11905,0.0325,0.21243,0.79852,0.99978,1,0.99499,0.97599,0.99466,0.99488,0.99106,0.98986,0.23428,0.07309,0.00078,0.15985,0.73708,0.000952889,0.000952889,0.000952889
30,922.566,0.29508,0.10981,0.03781,0.21033,0.80038,0.9993,1,0.99498,0.97895,0.9936,0.99429,0.98915,0.98793,0.23408,0.07272,0.00107,0.16104,0.73684,0.000949524,0.000949524,0.000949524
31,951.322,0.30263,0.12794,0.03879,0.21294,0.79849,0.9999,0.9998,0.995,0.97812,0.99321,0.99311,0.98907,0.98727,0.22482,0.07716,0.00098,0.15547,0.73677,0.000946048,0.000946048,0.000946048
32,980.183,0.29308,0.09231,0.03014,0.20692,0.79829,0.99955,1,0.995,0.98018,0.99385,0.99429,0.98957,0.98853,0.21576,0.0696,0.00086,0.15018,0.73578,0.000942464,0.000942464,0.000942464
33,1009.07,0.28755,0.09738,0.0367,0.20188,0.79748,0.99939,1,0.995,0.98,0.99369,0.99429,0.98999,0.98906,0.21344,0.06774,0.00098,0.14707,0.73524,0.000938772,0.000938772,0.000938772
34,1037.78,0.29144,0.09625,0.03344,0.2045,0.79545,0.99975,1,0.995,0.97759,0.99405,0.99429,0.98998,0.98897,0.23141,0.06672,0.00097,0.15416,0.73633,0.000934973,0.000934973,0.000934973
35,1066.27,0.28557,0.10117,0.03069,0.19949,0.7953,0.99994,1,0.995,0.97797,0.99404,0.9941,0.98953,0.98808,0.22344,0.07029,0.00078,0.14954,0.73702,0.000931067,0.000931067,0.000931067
36,1095.12,0.28432,0.08549,0.03131,0.20118,0.796,0.99957,1,0.995,0.98092,0.99544,0.99587,0.99132,0.99075,0.2127,0.05603,0.00065,0.14971,0.73451,0.000927057,0.000927057,0.000927057
37,1123.86,0.27674,0.08835,0.03213,0.19472,0.79681,0.99978,1,0.995,0.98056,0.99329,0.99351,0.98876,0.98693,0.2143,0.07591,0.0008,0.1468,0.73479,0.000922942,0.000922942,0.000922942
38,1152.56,0.28847,0.09966,0.03206,0.20016,0.79787,0.99954,1,0.995,0.98217,0.99344,0.9939,0.99041,0.98883,0.21043,0.06509,0.00068,0.14114,0.73441,0.000918725,0.000918725,0.000918725
39,1181.14,0.2825,0.08559,0.03294,0.19702,0.7939,0.99979,0.99961,0.995,0.98105,0.9929,0.99272,0.98818,0.98696,0.21187,0.08001,0.00084,0.14439,0.73422,0.000914405,0.000914405,0.000914405
40,1209.71,0.28242,0.10854,0.03101,0.19508,0.7995,0.99978,1,0.995,0.98003,0.99388,0.9941,0.98964,0.98881,0.21017,0.06473,0.00084,0.14005,0.73513,0.000909984,0.000909984,0.000909984
